metro,month,month_name,stage,value_type,load_series,energy_usd,market_usd,demand_usd,rider_usd,fixed_usd,statutory_usd,total_usd,kwh,ncp_kw_15min,ncp_kw_30min,billed_kw_15min,billed_kw_30min,cp4_kw,ratchet_binding,storage_discharge_mwh,storage_charge_mwh,storage_cap_kw,pue_basis
Atlanta,1,Jan,baseline,level,baseline,71758141.62045237,0.00000000,18367156.75848715,0.00000000,293.31958301,0.00000000,90125591.69852254,739182621.064251,1178819.640000,1176101.985500,1178819.640000,1176101.985500,1126062.933713,0,,,,plant_derived_4a
Atlanta,1,Jan,measures,delta,baseline,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,,plant_derived_4a
Atlanta,1,Jan,storage,delta,dispatched,-488100.04279909,0.00000000,-292752.13675937,0.00000000,0.00000000,0.00000000,-780852.17955845,739216245.171856,1157356.222406,1157356.222406,1157356.222406,1157356.222406,1125335.697934,0,190.536610,224.160717,1157356.222406,plant_derived_4a
Atlanta,1,Jan,mitigated,level,dispatched,71270041.57765329,0.00000000,18074404.62172778,0.00000000,293.31958301,0.00000000,89344739.51896408,,,,,,,,,,,plant_derived_4a
Atlanta,2,Feb,baseline,level,baseline,67667571.41614258,0.00000000,18386735.30089323,0.00000000,293.31958301,0.00000000,86054600.03661883,667779867.231751,1179737.314000,1177355.656000,1179737.314000,1177355.656000,1126062.933713,0,,,,plant_derived_4a
Atlanta,2,Feb,measures,delta,baseline,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,,plant_derived_4a
Atlanta,2,Feb,storage,delta,dispatched,-670383.15756033,0.00000000,-447116.99379940,0.00000000,0.00000000,0.00000000,-1117500.15135973,667879448.102616,1148725.466196,1148725.466196,1148725.466196,1148725.466196,1125335.697934,0,564.291602,663.872472,1148725.466196,plant_derived_4a
Atlanta,2,Feb,mitigated,level,dispatched,66997188.25858226,0.00000000,17939618.30709383,0.00000000,293.31958301,0.00000000,84937099.88525911,,,,,,,,,,,plant_derived_4a
Atlanta,3,Mar,baseline,level,baseline,73968316.61932515,0.00000000,18658910.46144779,0.00000000,293.31958301,0.00000000,92627520.40035595,770218679.506250,1199357.595000,1194783.816000,1199357.595000,1194783.816000,1126062.933713,0,,,,plant_derived_4a
Atlanta,3,Mar,measures,delta,baseline,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,,plant_derived_4a
Atlanta,3,Mar,storage,delta,dispatched,-718905.35431607,0.00000000,-432469.42444317,0.00000000,0.00000000,0.00000000,-1151374.77875924,770306971.133100,1167091.552279,1167091.552279,1167091.552279,1167091.552279,1125335.697934,0,500.319219,588.610846,1167091.552279,plant_derived_4a
Atlanta,3,Mar,mitigated,level,dispatched,73249411.26500908,0.00000000,18226441.03700462,0.00000000,293.31958301,0.00000000,91476145.62159671,,,,,,,,,,,plant_derived_4a
Atlanta,4,Apr,baseline,level,baseline,73422820.54425636,0.00000000,18718927.69582084,0.00000000,293.31958301,0.00000000,92142041.55966021,758575851.410001,1204914.812000,1198626.892500,1204914.812000,1198626.892500,1126062.933713,0,,,,plant_derived_4a
Atlanta,4,Apr,measures,delta,baseline,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,,,,,,,,,,plant_derived_4a
Atlanta,4,Apr,storage,delta,dispatched,-570253.42820460,0.00000000,-341406.82442125,0.00000000,0.00000000,0.00000000,-911660.25262585,758596456.074210,1176765.629521,1176765.629521,1176765.629521,1176765.629521,1125335.697934,0,116.759764,137.364428,1176765.629521,plant_derived_4a
