metro,kind,component_id,component_name,usd_per_year,usd_per_it_mwh,energy_channel_usd,demand_channel_usd,rider_usd,fixed_usd,statutory_usd,included_in_mitigated_total,waterfall_order,waterfall_start_usd,waterfall_end_usd,note
Dallas-Fort Worth,baseline,TRANS-SVC,TRANS-SVC,376275667.61669660,47.672601139033446,,,,,,1,0,0,376275667.61669660,Unit 4A facility baseline on the selected schedule
Dallas-Fort Worth,storage,M-ALL-STORAGE/B100-4H/CP4,"B100-4H battery, CP4 dispatch",-2459229.27768189,-0.31157438,133015.84007835,0.00000000,-2592245.11776021,0.00000000,0,1,1,376275667.61669660,373816438.33901471,78 days dispatched
Dallas-Fort Worth,mitigated,TOTAL,mitigated total,373816438.33901471,47.36102676,133015.84007835388,0.0,-2592245.117760211,0.0,0,1,2,0,373816438.33901471,baseline + measures + storage
Columbus,baseline,DCT-T,DCT-T,546655609.92424023,69.25904887073534,,,,,,1,0,0,546655609.92424023,Unit 4A facility baseline on the selected schedule
Columbus,measure,M-COL-EXCISE,Ohio kWh excise self-assessment,-16187651.92185718,-2.05090985,0.00000000,0.00000000,-33427283.97411689,0.00000000,17239632.05225967,1,1,546655609.92424023,530467958.00238305,"ORC 5727.81(C) self-assessment: tariff rider removed, statutory liability booked separately because it is not a tariff quantity"
Columbus,storage,M-ALL-STORAGE/B100-4H/FLAT,"B100-4H battery, FLAT dispatch",-1396828.57826579,-0.17697252,49545.31903112,0.00000000,-1446373.89729691,0.00000000,0,1,2,530467958.00238305,529071129.42411727,238 days dispatched
Columbus,mitigated,TOTAL,mitigated total,529071129.42411727,67.03116650,49545.31903111935,0.0,-34873657.8714138,0.0,17239632.052259672,1,3,0,529071129.42411727,baseline + measures + storage
Chicago,baseline,BESH-HV,BESH-HV,643584518.09261274,81.53954845026165,,,,,,1,0,0,643584518.09261274,Unit 4A facility baseline on the selected schedule
Chicago,measure,M-CHI-EEPP,ComEd Rider EEPP opt-out,-44307832.55875778,-5.61362270,0.00000000,0.00000000,-44307832.55875768,0.00000000,0.00000000,1,1,643584518.09261274,599276685.53385496,rider removed from an in-memory rate-table clone
Chicago,measure,M-CHI-RPS,Illinois self-direct RPS,-4872023.08218718,-0.61726557,0.00000000,0.00000000,-4872023.08218703,0.00000000,0.00000000,1,2,599276685.53385496,594404662.45166779,credit row added to an in-memory rate-table clone
Chicago,storage,M-ALL-STORAGE/B100-4H/FLAT,"B100-4H battery, FLAT dispatch",-2814825.19433618,-0.35662694,35149.88686925,-2863212.53603429,13237.45482889,0.00000000,0,1,3,594404662.45166779,591589837.25733161,202 days dispatched
Chicago,mitigated,TOTAL,mitigated total,591589837.25733161,74.95203325,35149.88686925173,-2863212.536034286,-49166618.186115816,0.0,0.0,1,4,0,591589837.25733161,baseline + measures + storage
Austin,baseline,COMM-PRI-20MW,COMM-PRI-20MW,748606614.06457627,94.84542210339644,,,,,,1,0,0,748606614.06457627,Unit 4A facility baseline on the selected schedule
Austin,measure,M-AUS-HLF,Austin Energy high load factor election,-87252874.76585257,-11.05458539,-80196760.89135265,-7282244.75449991,0.00000000,226130.88000000,0.00000000,1,1,748606614.06457627,661353739.29872370,schedule swap COMM-PRI-20MW -> COMM-PRI-20MW-HLF
Austin,storage,M-ALL-STORAGE/B100-4H/FLAT,"B100-4H battery, FLAT dispatch",-6000336.16787231,-0.76021826,43532.54166722,-6043868.70953953,0.00000000,0.00000000,0,1,2,661353739.29872370,655353403.13085139,196 days dispatched
Austin,mitigated,TOTAL,mitigated total,655353403.13085139,83.03061846,-80153228.34968543,-13326113.464039445,0.0,226130.88000000006,0.0,1,3,0,655353403.13085139,baseline + measures + storage
Northern Virginia,baseline,GS-4,GS-4,848998135.27392101,107.56462071293613,,,,,,1,0,0,848998135.27392101,Unit 4A facility baseline on the selected schedule
Northern Virginia,measure,M-NOVA-RPS,Dominion Rider RPS exemption,-70889135.43009186,-8.98136598,0.00000000,0.00000000,-70889135.43009180,0.00000000,0.00000000,1,1,848998135.27392101,778108999.84382915,rider removed from an in-memory rate-table clone
Northern Virginia,storage,M-ALL-STORAGE/B100-4H/FLAT,"B100-4H battery, FLAT dispatch",-6427491.72444582,-0.81433714,1108.05167657,-3384957.78953248,-3043641.98658991,0.00000000,0,1,2,778108999.84382915,771681508.11938334,178 days dispatched
Northern Virginia,mitigated,TOTAL,mitigated total,771681508.11938334,97.76891760,1108.0516765713692,-3384957.7895324826,-73932777.4166817,0.0,0.0,1,3,0,771681508.11938334,baseline + measures + storage
Phoenix,baseline,E-35,E-35,975288132.77364874,123.56505123981005,,,,,,1,0,0,975288132.77364874,Unit 4A facility baseline on the selected schedule
Phoenix,storage,M-ALL-STORAGE/B100-4H/FLAT,"B100-4H battery, FLAT dispatch",-5989990.95805323,-0.75890756,45913.40813899,-5923742.77990627,-112161.58628594,0.00000000,0,1,1,975288132.77364874,969298141.81559551,237 days dispatched
Phoenix,mitigated,TOTAL,mitigated total,969298141.81559551,122.80614368,45913.4081389904,-5923742.779906273,-112161.58628593851,0.0,0,1,2,0,969298141.81559551,baseline + measures + storage
Atlanta,baseline,PLL-18,PLL-18,1126412681.65649343,142.71191871290765,,,,,,1,0,0,1126412681.65649343,Unit 4A facility baseline on the selected schedule
Atlanta,storage,M-ALL-STORAGE/B100-4H/FLAT,"B100-4H battery, FLAT dispatch",-10911775.43434715,-1.38247770,-6782668.44444716,-4129106.98989996,0.00000000,0.00000000,0,1,1,1126412681.65649343,1115500906.22214627,183 days dispatched
Atlanta,mitigated,TOTAL,mitigated total,1115500906.22214627,141.32944102,-6782668.44444716,-4129106.989899963,0.0,0.0,0,1,2,0,1115500906.22214627,baseline + measures + storage
San Jose / Bay Area,baseline,B-20-T,B-20-T,1428314506.81746459,180.9616556284141,,,,,,1,0,0,1428314506.81746459,Unit 4A facility baseline on the selected schedule
San Jose / Bay Area,measure,M-SJ-PF,PG&E B-20 power factor adjustment,-6422042.33581734,-0.81364672,0.00000000,0.00000000,-6422042.33581735,0.00000000,0.00000000,1,1,1428314506.81746459,1421892464.48164725,correction applied outside the engine; the engine does not evaluate the mechanic
San Jose / Bay Area,storage,M-ALL-STORAGE/B100-4H/WIN53,"B100-4H battery, WIN53 dispatch",-8985188.73826480,-1.13838697,-879916.54809451,-8105272.19017023,0.00000000,0.00000000,0,1,2,1421892464.48164725,1412907275.74338245,110 days dispatched
San Jose / Bay Area,mitigated,TOTAL,mitigated total,1412907275.74338245,179.00962193,-879916.548094511,-8105272.1901702285,-6422042.33581735,0.0,0.0,1,3,0,1412907275.74338245,baseline + measures + storage
Columbus,excluded,M-COL-VOLT,voltage sibling DCT -> DCT-T,-184527629.75000000,-23.37890200,,,,,,0,99,,,"BASELINE-SIDE: the published baseline is already billed on the TO schedule, so counting this again would double-count it. priced against an UNPRICED transfer of substation and interconnection capex onto the customer"
Dallas-Fort Worth,excluded,M-DFW-VOLT,voltage sibling PRI-GT10KW-SUB -> TRANS-SVC,-35652792.35000000,-4.51706400,,,,,,0,99,,,"BASELINE-SIDE: the published baseline is already billed on the TO schedule, so counting this again would double-count it. priced against an UNPRICED transfer of substation and interconnection capex onto the customer"
San Jose / Bay Area,excluded,M-SJ-VOLT,voltage sibling B-20 -> B-20-T,-520924103.18000001,-65.99897100,,,,,,0,99,,,"BASELINE-SIDE: the published baseline is already billed on the TO schedule, so counting this again would double-count it. priced against an UNPRICED transfer of substation and interconnection capex onto the customer"
