metro,utility,eiaid,sector,name,label,startdate_iso,enddate_iso,voltagecategory,phasewiring,peakkwcapacitymin,peakkwcapacitymax,peakkwhusagemin,peakkwhusagemax,has_energy_tou,has_demand_structure,has_flat_demand,fixedchargefirstmeter,fixedchargeunits,demandrateunit,is_default,uri
Columbus,Ohio Power Co,14006,Commercial,Data Center Tariff Ohio Power Rate Zone (DCT) - Primary,69dd3c8cc6b8d5269401c6ea,2026-04-10,,,,25000,,,,1,0,1,211.01,$/month,kW,False,https://apps.openei.org/IURDB/rate/view/69dd3c8cc6b8d5269401c6ea
Columbus,Ohio Power Co,14006,Commercial,Data Center Tariff Ohio Power Rate Zone (DCT) - Secondary,69dd3b38fb3032983a07bf08,2026-04-10,,,,25000,,,,1,0,1,45.71,$/month,kW,False,https://apps.openei.org/IURDB/rate/view/69dd3b38fb3032983a07bf08
Columbus,Ohio Power Co,14006,Commercial,Data Center Tariff Ohio Power Rate Zone (DCT) - Transmission,69dd3d1c3b7f6b42a805fd9c,2026-04-10,,,,25000,,,,1,0,1,6824.71,$/month,kW,False,https://apps.openei.org/IURDB/rate/view/69dd3d1c3b7f6b42a805fd9c
Austin,Austin Energy,1015,Commercial,Commercial - Primary Voltage Greater than 20 MW (Inside Austin),68b7b47d21cf9a2f810d7c9b,2025-05-01,,Primary,,20000,,,,1,0,1,2861.1,$/month,kW,False,https://apps.openei.org/IURDB/rate/view/68b7b47d21cf9a2f810d7c9b
Austin,Austin Energy,1015,Commercial,Commercial - Primary Voltage Greater than 20 MW (Outside Austin),68b7b9f7d3323036f20806ed,2025-05-01,,Primary,,20000,,,,1,0,1,2861.1,$/month,kW,False,https://apps.openei.org/IURDB/rate/view/68b7b9f7d3323036f20806ed
Austin,Austin Energy,1015,Commercial,Commercial - Primary Voltage Greater than 20 MW (Time of Use Option) Inside Austin,577ec3275457a3e6313068f0,2016-04-01,,Primary,,20000,,,,1,1,0,2500,$/month,kW,,https://apps.openei.org/IURDB/rate/view/577ec3275457a3e6313068f0
Austin,Austin Energy,1015,Commercial,Commercial - Primary Voltage Greater than 20 MW (Time of Use Option) Outside Austin,577ec51e5457a3105a3068ef,2016-04-01,,Primary,,20000,,,,1,1,0,2500,$/month,kW,,https://apps.openei.org/IURDB/rate/view/577ec51e5457a3105a3068ef
Austin,Austin Energy,1015,Industrial,High Load Factor Transmission Voltage (Demand Greater than 20 MW) Inside city,68b7bbb2be8cb9482207e4aa,2025-05-01,,Transmission,,20000,,,,1,0,1,20808,$/month,,False,https://apps.openei.org/IURDB/rate/view/68b7bbb2be8cb9482207e4aa
Austin,Austin Energy,1015,Industrial,High Load Factor Transmission Voltage (Demand Greater than 20 MW) Outside city,68b7bc8619ad20e829038910,2025-05-01,,Transmission,,20000,,,,1,0,1,20808,$/month,,False,https://apps.openei.org/IURDB/rate/view/68b7bc8619ad20e829038910
Chicago,Commonwealth Edison Co,4110,Industrial,BESH-Extra Large Load Delivery Class(Unbundled),53a876c45257a3e815e58e6f,2014-06-01,,Primary,3-Phase,10001,,,,1,0,1,1531.87,$/month,,,https://apps.openei.org/IURDB/rate/view/53a876c45257a3e815e58e6f
Chicago,Commonwealth Edison Co,4110,Industrial,BES-High Voltage Delivery Class (Primary),64c03c5d250784052f07bbc1,2023-06-01,,Primary,3-Phase,10000,,,,1,0,1,634.44,$/month,kW,False,https://apps.openei.org/IURDB/rate/view/64c03c5d250784052f07bbc1
Chicago,Commonwealth Edison Co,4110,Industrial,"BES-High Voltage Delivery Class (Primary)  69,000 Volts",67a398f360c6919a8d073020,2025-01-01,,Primary,3-Phase,10000,,,,1,0,1,1111.77,$/month,kW,False,https://apps.openei.org/IURDB/rate/view/67a398f360c6919a8d073020
Chicago,Commonwealth Edison Co,4110,Industrial,"BES-High Voltage Delivery Class (Primary) ≤ 69,000 Volts",67a38fbe5b8683a97b04520c,2025-01-01,,Primary,3-Phase,10000,,,,1,0,1,878.17,$/month,kW,False,https://apps.openei.org/IURDB/rate/view/67a38fbe5b8683a97b04520c
Chicago,Commonwealth Edison Co,4110,Industrial,BES-High Voltage Delivery Class (Secondary),64c03d033f71eeb0cc0df073,2023-06-01,,Secondary,3-Phase,10000,,,,1,0,1,634.44,$/month,,False,https://apps.openei.org/IURDB/rate/view/64c03d033f71eeb0cc0df073
Chicago,Commonwealth Edison Co,4110,Industrial,"BES-High Voltage Delivery Class (Secondary)  69,000 Volts",67a398ed60c6919a8d07301e,2025-01-01,,Secondary,3-Phase,10000,,,,1,0,1,1111.77,$/month,,False,https://apps.openei.org/IURDB/rate/view/67a398ed60c6919a8d07301e
Chicago,Commonwealth Edison Co,4110,Industrial,"BES-High Voltage Delivery Class (Secondary) ≤ 69,000 Volts",67a38fd7d7c581510e09fa38,2025-01-01,,Secondary,3-Phase,10000,,,,1,0,1,878.17,$/month,,False,https://apps.openei.org/IURDB/rate/view/67a38fd7d7c581510e09fa38
Chicago,Commonwealth Edison Co,4110,Industrial,BES-High Voltage Delivery Class (Transmission),59555cb45457a3c7618b456a,2017-06-01,,Secondary,3-Phase,10000,,,,1,0,1,484.01,$/month,kW,,https://apps.openei.org/IURDB/rate/view/59555cb45457a3c7618b456a
Chicago,Commonwealth Edison Co,4110,Industrial,RDS-High Voltage Delivery Class (Primary),64c01c36d007addda603c402,2023-06-01,,Primary,3-Phase,10000,,,,1,0,1,634.44,$/month,kW,False,https://apps.openei.org/IURDB/rate/view/64c01c36d007addda603c402
